ID,UPA,EventDate,Employer,Address1,Address2,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Inspection,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,Secondary Source,Secondary Source Title
2015010505,932908,1/15/2015,Overhead Door Company of Austin,3600 Silver Dollar Circle,Suite 200,AUSTIN,TEXAS,78744,30.2,-97.71,238290,1,0,,An employee using a 10-foot A-frame ladder was knocked over when another employee opened a manual overhead door they were working on. The employee fell off the ladder and sustained multiple bone fractures on both forearms and wrists.,111,Fractures,4839,"Wrist(s) and arm(s), n.e.c.",4332,Other fall to lower level 6 to 10 feet,749,"Ladders, n.e.c.",6511,"Doors, except garage and vehicle"
2015010523,932996,1/16/2015,"James Lane Air Conditioning, Inc.",5214 Stone Lake Drive,,WICHITA FALLS,TEXAS,76310,33.85,-98.51,238220,1,0,,"Employee was lowering a boom lift while installing fire protection piping. The hydraulics failed, causing the employee to break the lower left leg.",111,Fractures,513,Lower leg(s),69,"Contact with objects and equipment, n.e.c.",8422,"Boom truck, bucket or basket hoist truck",,
2015010535,933549,1/16/2015,Ramming Paving,17310 Market Street,,CHANNELVIEW,TEXAS,77530,29.78,-95.08,237310,1,0,,"Employee was on top of a hot oil tanker trailer attempting to remove the lid to fill the tanker. The lid was stuck due to sitting for a couple of weeks because of inclement weather.  The fall protection cage provided at the fill location did not fit the tanker trailer properly, leaving a gap large enough for the employee to fall beneath the cage. When the lid came loose, the employee fell from the top of the tanker trailer, under the fall protection cage, to the ground. The employee dislocated a shoulder, broke two to three ribs, and received contusions.",189,"Multiple traumatic injuries and disorders, n.e.c.",899,"Multiple body parts, n.e.c.",4330,"Other fall to lower level, unspecified",8421,"Semi, tractor-trailer, tanker truck",,
2015010543,933174,1/16/2015,"I Am Construction, LLC",1200 North Hwy. 288B,,RICHWOOD,TEXAS,77531,29.01,-95.4,236220,1,0,1019699,"The worker was taking photos of the project from the roof, when he stepped back and fell through a sky light. He fell 22 feet to the concrete floor below.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4325,Fall through surface or existing opening 21 to 25 feet ,6541,Skylights,,
2015010015,967503,1/19/2015,"Lochridge Priest, Inc. ",2901 E. Industrial Blvd,,WACO,TEXAS,76705,31.6,-97.11,238220,1,0,1045457,The HVAC team was removing an air-conditioning system from a roof when an employee stumbled over and fell onto angle irons that were supporting the system. The employee was hospitalized and had two surgeries on his right thigh.,1972,"Soreness, pain, hurt-nonspecified injury",511,Thigh(s),4212,Fall on same level due to tripping on uneven surface,6543,Roof surfaces other than roof edge,4131,Angle irons
2015010609,933182,1/19/2015,Warhorse Services,Rig # LC-15,,MIDLAND,TEXAS,79707,31.98,-102.13,238910,1,1,,Employee amputated tip of finger when he caught it in a clamp while running rods.,1311,Amputations,4422,Fingertip(s),649,"Caught in or compressed by equipment or objects, n.e.c.",4211,"Clamps, couplings",,
2015010612,933379,1/20/2015,"Infinity Maintenance Servies, LP","Oyster Creek Site, Unit 3",2301 North Brazosport Blvd.,FREEPORT,TEXAS,77541,28.97,-95.35,237990,1,0,1020326,"Employee was installing steam trace lines from an aerial lift. The individual then bent over while working; the aerial lift moved, catching the employee's head between the cage of the aerial lift and an iron beam of the support structure for the unit.",1972,"Soreness, pain, hurt-nonspecified injury",10,"Head, unspecified",649,"Caught in or compressed by equipment or objects, n.e.c.",3467,"Aerial lifts, scissor lifts-except truck-mounted",6551,"Girders, beams, structural steel"
2015010629,933435,1/20/2015,Dynamic System Mechanical Contractors Inc.,5741 Legacy Drive,,PLANO,TEXAS,75024,33.07,-96.81,238220,1,0,,"An employee servicing an AC was working from a 10-foot A-frame ladder. While descending, the ladder gave way and the employee fell to the ground.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4312,Fall from collapsing structure or equipment 6 to 10 feet,7422,Step ladders,,
2015010634,933468,1/20/2015,Dasch Millworks,800 Hwy 71,,MARBLE FALLS,TEXAS,78654,30.47,-98.28,238350,0,1,1020178,An employee was operating a table saw when he amputated his right thumb.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",6311,Struck against moving part of machinery or equipment,3573,Table saws,,
2015010735,935207,1/23/2015,Butler and Butler,4121 Harvest Hill Rd,,DALLAS,TEXAS,75234,32.92,-96.83,238140,1,0,,Employee fell through crank scaffold.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4320,"Fall through surface or existing opening, unspecified",6340,"Scaffolds-staging, unspecified",,
2015010763,934598,1/23/2015,"Nations Renovations, LLC",1250 Magnolia Drive,,TYLER,TEXAS,75701,32.33,-95.28,238160,1,0,1022104,An employee operating a Skytrak aerial lift was seriously injured when the Skytrak fell on its side.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,2731,"Jack-knifed or overturned, nonroadway",8629,"Industrial vehicle, material hauling and transport-powered, n.e.c",,
2015010805,934741,1/26/2015,Duke Electric Company Inc.,100 Northwest 7th Street,,SEMINOLE,TEXAS,79360,32.72,-102.65,238210,1,0,,Employee was burned while working on a motor.,150,"Burns and corrosions, unspecified ",9999,Nonclassifiable,50,"Exposure to harmful substances or environments, unspecified",4414,Motors other than vehicle,,
2015010813,935074,1/26/2015,"AUC Group, L.P. ",3203  1/2 Spring Green,,KATY,TEXAS,77494,29.73,-95.8,236210,1,0,1028058,"A temporary worker for AUC Group (worker #1) was walking to his truck to leave for the day.  Another worker for AUC Group (worker #2) was backing out a truck owned by AUC Group. Worker #2 struck worker #1 with the vehicle. Worker #1 sustained back injuries caused by the accident, which required a surgical procedure to repair the damage. Worker #1 spent one night in the hospital.",1972,"Soreness, pain, hurt-nonspecified injury",320,"Back, including spine, spinal cord, unspecified",2443,Pedestrian struck by vehicle backing up in nonroadway area,8420,"Truck-motorized freight hauling and utility, unspecified",,
2015010926,935654,1/29/2015,Quality Brick Works,1421 South 23rd Street,,TEMPLE,TEXAS,76504,31.09,-97.36,236220,1,0,1031527,Worker was working off a 6 ft scaffold that had been erected the day before. He adjusted the scaffold so he could pour concrete and fell. He was admitted to the hospital.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4332,Other fall to lower level 6 to 10 feet,6340,"Scaffolds-staging, unspecified",,
2015010928,938128,1/29/2015,"BR BRICK & STONE, L.P.",25710 Loop 494,,KINGWOOD,TEXAS,77339,30.03,-95.22,238140,1,0,,"A scaffold board was removed to load mortar onto the scaffold. As the scaffold board was placed back into position, an adjacent scaffold board fell from the third tier, striking an employee in the head. The injured employee was on the ground loading custom bricks into a bucket.  He was taken to the hospital and admitted.",160,"Intracranial injuries, unspecified",111,Brain,6239,"Struck by falling object or equipment, n.e.c.",6340,"Scaffolds-staging, unspecified",,
2015010980,938408,1/30/2015,"Bay Tex Glass, Inc.",921 N. Water Street,,CORPUS CHRISTI,TEXAS,78401,27.79,-97.39,238150,1,0,,"An employee was walking toward a conex storage system and slipped, popping his kneecap out.",1212,Dislocation of joints,512,Knee(s),4110,"Slip without fall, unspecified",562,"Bodily motion or position of injured, ill worker",,
2015021032,943905,2/2/2015,Dee Brown Inc. ,3966 McKinney Ave,,GARLAND,TEXAS,75041,32.88,-96.64,238140,0,1,,The employee was injured while setting a piece of cast stone. His hand got pinched between two pieces of stone.,1311,Amputations,9999,Nonclassifiable,642,Compressed or pinched by shifting objects or equipment,4113,"Stone, marble, granite slabs",,
2015021094,942389,2/3/2015,Lilly Construction,"Chevron lease Section 17, off Hwy 385",,ODESSA,TEXAS,79761,31.85,-102.35,238910,0,1,,Employee was manually loading a piece of pipe onto a trailer. The pipe shifted and cut off the tip of the employee's right middle finger.,1311,Amputations,4422,Fingertip(s),620,"Struck by object or equipment, unspecified",4120,"Pipes, ducts, tubing, unspecified",,
2015021107,944371,2/4/2015,Discount Home Warehouse,3513 Lindenwood,In the alley behind the house,DALLAS,TEXAS,75205,32.83,-96.79,238910,1,0,1030787,An employee was hospitalized from injuries he received when he fell off of a ladder.  The employee put an aluminum ladder in the bed of his truck and leaned it against a power line to cut a telephone line.  The employee fell on the concrete area below.,10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,430,"Fall to lower level, unspecified",740,"Ladders, unspecified",,
2015021110,944373,2/4/2015,"Austin Maintenance & Construction, INC.",12000 Lawndale,,HOUSTON,TEXAS,77017,29.7,-95.23,237990,1,0,,"Employees were installing a pump at the facility. During the process, the pump shifted and caught one of the employees fingers, smashing it against the pedestal wall of the pump. Employee was transported to the Memorial Herman Hospital where they determined that the finger had a fracture.",111,Fractures,4429,"Finger(s), fingernail(s), n.e.c.",642,Compressed or pinched by shifting objects or equipment,3797,Pumps,,
2015021131,944231,2/4/2015,"Binswanger Glass, LLC.",8100 Greenbriar Rd,,HOUSTON,TEXAS,77001,29.69,-95.4,238150,1,0,,"Worker was walking out from the building and was struck on the head by a falling piece of metal that was removed from an upper level window. Worker was taken to Methodist Hospital at 6565 Fanning St. in Houston, Texas, where personnel stitched his head.",132,"Cuts, lacerations",10,"Head, unspecified",6230,"Struck by falling object or equipment, unspecified",945,Scrap metal,,
2015021138,943931,2/4/2015,Kurosky & Company Painting Contractors Inc.,6220 Anderson Rd.,,FORT WORTH,TEXAS,76117,32.78,-97.25,238320,1,0,,"The employee was unloading a flatbed semi trailer. The forklift operator was removing material from the trailer. The material began shifting on the forks, and the employee moved to avoid being struck. The employee lost his footing and fell off of the trailer, fracturing his pelvis.",111,Fractures,342,Pelvis,4330,"Other fall to lower level, unspecified",8421,"Semi, tractor-trailer, tanker truck",8621,"Forklift, order picker, platform truck-powered"
2015021190,951748,2/6/2015,American Bridge Company,909 East Colorado Blvd,,DALLAS,TEXAS,75203,32.75,-96.81,237310,0,1,,"An employee was moving the forks of a forklift closer together, slightly raising the fork. He slipped as he began to push the fork, pinching the tip of his right middle finger between the fork and the forklift mast.",1311,Amputations,4420,"Finger(s), fingernail(s), unspecified",642,Compressed or pinched by shifting objects or equipment,8621,"Forklift, order picker, platform truck-powered",,
2015021193,948628,2/6/2015,Jacobs Engineering,13330 Hatcherville Rd.,,MONT BELVIEU,TEXAS,77580,29.83,-94.96,237990,1,0,,Employee dislocated his right ankle while stepping off of a rail car. Employee was sent to the hospital where they admitted him because his ankle kept popping out of place after they set it. They had to perform surgery on the ankle. ,1212,Dislocation of joints,52,Ankle(s),40,"Fall, slip, trip, unspecified ",8240,"Train, locomotive, rail car, unspecified",,
2015021206,949190,2/6/2015,Ansco Associates,6654 Leopard St.,,CORPUS CHRISTI,TEXAS,78409,27.8,-97.48,238210,1,0,,"Worker was repairing an overhead door roller located in the shop. He set up an extension ladder against the wall of the building and climbed up. After he made the repair using his hands, he fell while descending the ladder. He landed on a water pump that was below and sustained multiple injuries to the right side of his body, including his right arm, knee cap, ribs, and cheek.  He also sustained a cranial injury due to the fall and suffered a concussion.",189,"Multiple traumatic injuries and disorders, n.e.c.",899,"Multiple body parts, n.e.c.",4330,"Other fall to lower level, unspecified",7421,Extension ladders,,
2015021236,948548,2/7/2015,Lane Construction Company,I35 W and Hwy 287,near basswood exit,FORT WORTH,TEXAS,76137,32.86,-97.28,237310,1,1,,An employee had his left thumb crushed by the wheels of a semi trailer as he tried to avoid being run over. The employee was knocked to the ground and pulled into the wheel well of the trailer crushing his left hand and amputating his thumb. The employee also sustained injuries to the lower left side of his body.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",249,"Pedestrian vehicular incident, n.e.c.",8421,"Semi, tractor-trailer, tanker truck",,
2015021249,955270,2/8/2015,J&H Services Inc. ,Orla ,,ORLA,TEXAS,79770,31.82,-103.91,238910,1,0,,Employee stepped off of excavation equipment and broke his knee.,111,Fractures,512,Knee(s),430,"Fall to lower level, unspecified",3210,"Excavating machinery, unspecified",,
2015021264,952788,2/9/2015,Energy Services South,2334 State Highway 361,,INGLESIDE,TEXAS,78362,27.88,-97.2,237120,1,0,,"Employee was struck by a 12-inch pipe while it was being lowered into a three-foot deep trench, breaking his leg in two places above the ankle.",111,Fractures,513,Lower leg(s),6269,"Struck by swinging or slipping object, other than handheld, n.e.c.",4120,"Pipes, ducts, tubing, unspecified",,
2015021300,957649,2/10/2015,Tank Partners,501 E. Baxter ,,SEGUIN,TEXAS,78155,29.58,-97.96,237120,0,1,,An employee's left pinky was amputated after his hand was caught between a roller and a tank.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",640,"Caught in or compressed by equipment or objects, unspecified",4427,Rollers,2118,"Tanks, bins, vats-nonconfined space"
2015021315,955710,2/10/2015,Barrilleaux Inc.,9.4 Miles South of Pecos,,PECOS,TEXAS,79772,31.41,-103.49,238910,1,0,,"Employee lost his footing and fell into a 3-feet, 10-inches excavation, causing injuries that resulted in hospitalization.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4331,Other fall to lower level less than 6 feet,611,"Ditches, channels, trenches, excavations",,
2015021368,961188,2/12/2015,Mario Sinacola,Headquarters Dr. & West Spring Creek Pkwy.,,PLANO,TEXAS,75023,33.05,-96.73,237990,1,0,,Employee caught hand in system.,1972,"Soreness, pain, hurt-nonspecified injury",440,"Hand(s), unspecified",640,"Caught in or compressed by equipment or objects, unspecified",30,"Machinery, unspecified",,
2015021380,959749,2/12/2015,Zachary Industrial,6588 FM 524,,SWEENY,TEXAS,77480,29.1,-95.8,236210,1,0,,"A small crew of workers was working under reactor prefitting beams. They had the beams rigged with a come-along. After getting it into place, they lost control of the rigging and one of the beams fell on the ground and landed on the worker's foot.",1972,"Soreness, pain, hurt-nonspecified injury",530,"Foot (feet), unspecified",6230,"Struck by falling object or equipment, unspecified",4133,Beams-unattached metal,,
2015020236,963334,2/13/2015,Mas Tech Inc.,2398 FM 1235,,MERKEL,TEXAS,79536,32.47,-99.98,237120,1,0,1041073,Employee broke a leg at a construction yard.,111,Fractures,510,"Leg(s), unspecified",9999,Nonclassifiable,9999,Nonclassifiable,,
2015020269,962766,2/16/2015,"T-Dyne Contractors, LLC",14400 Pebble Hills,,EL PASO,TEXAS,79936,31.79,-106.23,238220,1,0,1041393,Employee was working from a scissor lift approximately 12 feet high when it collapsed and ejected the employee onto a concrete slab.  The employee was admitted to the hospital with a broken arm and a broken back.,111,Fractures,899,"Multiple body parts, n.e.c.",4313,Fall from collapsing structure or equipment 11 to 15 feet ,3467,"Aerial lifts, scissor lifts-except truck-mounted",,
2015021430,962565,2/16/2015,"Zachry Industrial, Inc.",1795 Burt Street,,BEAUMONT,TEXAS,77701,30.06,-94.07,236210,1,0,,"A worker on a dock was loading onto a vessel, when the loading chute fell on his left foot, injuring his pinky toe and the toe next to it.",1972,"Soreness, pain, hurt-nonspecified injury",532,"Toes(s), toenail(s)",6239,"Struck by falling object or equipment, n.e.c.",340,"Material and personnel handling machinery, unspecified",,
2015020477,962898,2/17/2015,"Stripes, LLC",2817 Red Bluff,,PASADENA,TEXAS,77503,29.69,-95.17,236220,1,1,,"Employee was opening a bag of guacamole using a knife without cutting gloves.  The knife went sideways, cutting her left index fingertip.",1311,Amputations,4422,Fingertip(s),6252,Injured by slipping or swinging object held by injured worker,7125,"Knives, unspecified or n.e.c.",,
2015020492,963405,2/17/2015,"Trinity Infrastructure, LLC",635 East bound of LBJ and Preston,,DALLAS,TEXAS,75240,32.93,-96.79,237310,1,0,,Employee was using a skill saw to cut 4X4s. The saw kicked back cutting the employee's finger.,132,"Cuts, lacerations",4420,"Finger(s), fingernail(s), unspecified",6252,Injured by slipping or swinging object held by injured worker,7224,"Saws-powered, except chainsaws",,
2015021441,961068,2/18/2015,Baker Concrete Construction,3400 Montrose,,HOUSTON,TEXAS,77006,29.74,-95.39,238110,1,1,,"Employee was setting a column form with an overhead hoist, when his finger became caught between a metal bracket and a two by four. The bracket lacerated the tip of the employee's finger and shaved a small portion of the bone. Employee was taken to OccuCare Medical clinic, where he was then referred to a specialist at Memorial Herman Hospital.",1311,Amputations,4422,Fingertip(s),643,Compressed or pinched between two stationary objects,4219,"Fasteners, n.e.c.",4151,"Dimensional lumber: 2x4, 2x3, etc."
2015020077,964419,2/19/2015,"Longview Bridge & Road, Ltd",US 59 & Domino,,QUEEN CITY,TEXAS,75572,33.15,-94.15,237310,1,0,,"Employee was cutting a tree. As the tree fell, it struck another tree and bounced back on the employee. The employee suffered a broken ankle.",111,Fractures,52,Ankle(s),6239,"Struck by falling object or equipment, n.e.c.",5871,Trees,,
2015030922,966243,3/2/2015,MSF ELECTRIC INC,901 Hardy Street,,HOUSTON,TEXAS,77020,29.76,-95.35,238210,1,0,,"The injured employee was standing halfway up a fold-down attic ladder, receiving instructions on what materials/equipment would be needed to fully repair the attic heater. While descending the ladder, the employee missed a step, fell, and fractured a vertebra in the thoracic area of the back.",111,Fractures,321,Thoracic region,4330,"Other fall to lower level, unspecified",749,"Ladders, n.e.c.",,
2015030925,968262,3/3/2015,Young & Sons Drywall,11850 Broadway,,PEARLAND,TEXAS,77581,29.54,-95.36,238130,1,0,1045478,"An employee was working on the third deck. As he was using a ladder to come down, he fell and sustained an injury.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4330,"Other fall to lower level, unspecified",740,"Ladders, unspecified",,
2015030967,967242,3/4/2015,Humphreys and Associates,3333 Dan Morton Dr,,DALLAS,TEXAS,75236,32.7,-96.91,238210,1,0,,An employee injured his wrist and head when he slipped on a three-rung ladder. He was admitted to the hospital and treated.,1972,"Soreness, pain, hurt-nonspecified injury",899,"Multiple body parts, n.e.c.",4331,Other fall to lower level less than 6 feet,740,"Ladders, unspecified",,
2015030974,966872,3/4/2015,"HydroChem, LLC",1147 Cantwell Lane,,CORPUS CHRISTI,TEXAS,78407,27.8,-97.44,238990,1,1,,An employee's finger was caught between two flange faces while manually positioning a portable pipe skid.,1311,Amputations,4429,"Finger(s), fingernail(s), n.e.c.",640,"Caught in or compressed by equipment or objects, unspecified",429,"Fasteners, connectors, ropes, ties, n.e.c.",,
2015030990,966852,3/4/2015,"Louisiana Crane & Construction, LLC",Rightaway Pipeline 5 to 6 miles from intersection of County roads 516 and 235 ,,PECOS,TEXAS,79772,31.41,-103.49,237120,1,0,,"On March 04, 2015, at approximately 4:30 p.m., two employees were preparing to depart the construction area due to rain. The injured employee went to retrieve his wallet from his lunch pail in the back of the truck they were going to drive. While he was in the back of the truck, a Porta John truck was reversing and sideswiped him between the two trucks. The employee was admitted to Odessa Medical Center Hospital.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,2443,Pedestrian struck by vehicle backing up in nonroadway area,8429,"Truck-motorized freight hauling and utility, n.e.c",,
2015030999,966801,3/5/2015,Rocio Carbajal,14520 Briar Forest Drive,,HOUSTON,TEXAS,77077,29.75,-95.64,238130,1,0,1045327,"An employee fell from the second floor, at a height of approximately 10 feet, while installing sheetrock. The employee did not have a personal fall arrest system at the time of the accident.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4332,Other fall to lower level 6 to 10 feet,6620,"Floor, unspecified",,
2015031040,967505,3/6/2015,Nestor Armendariz,7034 Twin Falls,,SPRING,TEXAS,77379,30.03,-95.53,238130,1,0,1047519,"On 3/06/2015 at approximately 9:44 AM, an employee was injured when he lost his footing on top of a 9 foot wall while installing ceiling joists and fell backwards onto the concrete floor below. The employee was admitted to the hospital with a brain injury.",160,"Intracranial injuries, unspecified",111,Brain,4332,Other fall to lower level 6 to 10 feet,6562,Walls,,
2015031046,969639,3/7/2015,"North Houston Pole Line, LLC",4616 South Richwood,,ROSENBERG,TEXAS,77471,29.56,-95.78,237210,1,0,,"An employee was riding on the back of a company pickup truck. As the driver took a right-hand turn, the employee fell off and suffered head trauma.",160,"Intracranial injuries, unspecified",111,Brain,2636,"Fall or jump from vehicle in normal operation, roadway",8431,Pickup truck,,
2015031054,967574,3/7/2015,"North Houston Pole Line, LLC",Intersection of 4616 South Richwood & Rawson Drive,,HOUSTON,TEXAS,77093,29.85,-95.34,237210,1,0,,"An employee was sitting on top of a toolbox while riding in the back of a pickup truck. When the truck made a right turn, the employee slid and fell off the left side of the truck onto the side of the road.",10,"Traumatic injuries and disorders, unspecified",9999,Nonclassifiable,4331,Other fall to lower level less than 6 feet,8431,Pickup truck,,
2015031072,967588,3/9/2015,Sol Contractors Inc.,1374 George Dieter,,EL PASO,TEXAS,79936,31.72,-106.3,238120,1,0,1045503,"An employee fell 10 feet to the ground from a scissor lift while working on a construction project. Upon impact, the employee broke his nose and other facial bones.",111,Fractures,138,Multiple face locations,4332,Other fall to lower level 6 to 10 feet,3467,"Aerial lifts, scissor lifts-except truck-mounted",,
